Station,ID,Address,Date,TSS,DO,P,ENT,Sal,Temp,pH,CHL_A,N
Murderkill River ,206091, Bay Rd. (Rt. 1/113),6/20/2023 8:52,57.9,3.42,0.13,528,5.93,23.6,7,22.5,1.22
206091,Murderkill River ,,,,,,,,,,,
Murderkill River ,206091, Bay Rd. (Rt. 1/113),7/12/2023 11:20,31.6,3.76,0.19,177,4.78,27.2,7,26.5,1.2
206091,Murderkill River ,,,,,,,,,,,
Murderkill River ,206091, Bay Rd. (Rt. 1/113),8/8/2023 9:13,47.2,4.07,0.18,1660,6.94,25.6,7,13.9,1.24
206091,Murderkill River ,,,,,,,,,,,
Murderkill River ,206091, Bay Rd. (Rt. 1/113),9/13/2023 9:25,35,3.66,0.19,3470,3.69,25.1,7,42.3,1.38
206091,Murderkill River ,,,,,,,,,,,
Murderkill River ,206091, Bay Rd. (Rt. 1/113),10/11/2023 9:29,46,5.81,0.16,455,5.84,16.3,7.2,10.7,1.4
206091,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),12/8/2022 8:19,46.7,10.19,0.08,31,25.52,10,7.5,14,0.73
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),1/17/2023 8:08,49,11.25,0.08,30,14.23,6.1,7.5,10.2,1.25
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),2/15/2023 8:25,118,11.49,0.11,5,19.98,8.5,8,75,1.11
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),3/8/2023 8:59,307,10.99,0.2,262,17.2,7.8,7.6,45.6,1.26
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),4/12/2023 7:45,38.3,8.91,0.02,5,22.1,14.6,8,10.1,0.24
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),5/9/2023 8:44,73.8,7.43,0.02,96,17.92,19.3,7.2,22,0.9
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),6/20/2023 8:11,111,4.99,0.04,171,22.01,23.1,7.3,13.5,0.46
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),7/12/2023 10:40,75.4,6.34,0.04,30,24.76,26.4,7.7,24.5,0.78
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),8/8/2023 8:41,135,5.52,0.04,189,25.17,25.3,7.7,27,0.36
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),9/13/2023 8:33,59.6,6.04,0.05,94,22.45,24.8,7.6,30.2,0.8
206101,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),12/8/2022 8:35,56.3,10.82,0.08,134,15.28,9.2,7.6,11,1.79
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),1/17/2023 8:24,55.3,11.66,0.1,31,11.29,4.5,7.6,8.06,1.78
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),2/15/2023 8:40,62.5,11.48,0.11,97,11.41,7.7,7.8,39.2,2.17
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),3/8/2023 9:13,202,11.34,0.21,97,9.69,8,7.4,33.5,2.41
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),4/12/2023 8:01,44.5,7.5,0.17,31,7.77,14.5,7.3,22.3,1.89
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),5/9/2023 8:55,69.2,7.97,0.11,243,9.03,18.5,7.2,22,1.46
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),6/20/2023 8:20,41,3.27,0.11,369,15.43,23.6,7,8.34,0.81
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),7/12/2023 10:48,48,2.4,0.19,146,12.16,27,7,13.6,0.95
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),8/8/2023 8:50,63.9,3.66,0.19,1350,13.56,25.5,7,12.5,1.08
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),9/13/2023 8:42,40.9,3.28,0.2,1040,10.48,25.1,7.1,15.6,1.14
206141,Murderkill River near levee ,,,,,,,,,,,
Murderkill River near levee ,206141, MNWA (RM 3.25),10/11/2023 8:56,20.6,6.72,0.09,292,19.09,17,7.4,8.94,0.88
206141,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,12/8/2022 8:45,39.1,8.97,0.22,870,1.65,11.9,7.7,11.8,2.65
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,1/17/2023 8:31,19.9,10.17,0.09,124,1.56,6,7.7,7.28,2.72
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,2/15/2023 8:52,40.8,10.32,0.16,101,3.12,9.3,7.5,15.6,2.77
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,3/8/2023 9:28,208,11.87,0.38,65,1.16,5.6,7.9,25.1,4.03
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,4/12/2023 8:07,69.4,8.26,0.18,131,1.15,14.7,7.7,23.8,2.35
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,5/9/2023 9:07,73,7.54,0.67,263,0.76,18.7,7.2,250,3.7
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,6/20/2023 8:27,33.3,3,0.24,350,7.26,23.4,7.2,15.7,1.4
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,7/12/2023 10:55,25.7,3.86,0.34,198,4.8,27.5,7.2,15.3,1.34
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,8/8/2023 8:57,28,3.38,0.31,1150,5.33,25.3,6.9,9.73,1.39
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,9/13/2023 8:56,76.2,3,0.26,3450,6.03,25,7.1,18.8,1.45
206231,Murderkill Rv. ,,,,,,,,,,,
Murderkill Rv. ,206231, confl. of KCWWTF discharge ditch,10/11/2023 9:01,52.7,6.18,0.14,605,10.45,16.7,7.2,5.71,1.25
206231,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),12/8/2022 8:03,3.1,10.85,0.04,40,0.11,10.4,7.2,16.1,4.23
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),1/17/2023 8:21,3.2,12.36,0.03,2,0.11,6.1,7.1,10.1,4.99
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),2/14/2023 8:04,5.9,11.9,0.05,34,0.1,8.6,6.4,11.6,4.74
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),3/8/2023 8:00,8,12.17,0.05,8,0.1,9.8,6.9,21.5,4.45
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),4/12/2023 8:27,11.9,11.42,0.08,17,0.1,16.5,7.7,38.1,3.73
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),5/9/2023 8:34,5.3,7.98,0.07,99,0.1,19.4,6.6,21.7,4.21
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),6/20/2023 8:37,6.4,9.32,0.07,21,0.11,24,7.6,30.8,2.75
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),7/12/2023 8:38,18.7,10.67,0.13,34,0.05,26.2,8.4,97.3,2.83
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),8/8/2023 7:47,13.3,9.41,0.11,570,0.1,25.1,7.3,79.4,3.76
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),9/13/2023 7:47,20.9,8.69,0.09,27,0.1,23.7,7,110,3.4
206361,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),10/11/2023 8:27,8.6,10.51,0.07,19,0.12,16.6,6.9,55.6,4.04
206361,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),12/8/2022 8:53,4.7,9.56,0.05,13,0.1,11.3,6.8,13.8,3.14
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),1/17/2023 8:43,2.9,11.44,0.05,4,0.11,6.1,6.7,13.7,4.74
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),2/14/2023 8:50,3.8,11.13,0.04,27,0.05,10,6.4,9.8,4.16
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),3/8/2023 8:18,5.7,11.2,0.05,8,0.05,9,6.6,17.3,3.73
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),4/12/2023 8:48,6.7,10.18,0.06,10,0.05,16.9,7.1,24.2,3.12
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),5/9/2023 9:30,4.6,7.28,0.11,19,0.05,20.5,6.2,15.3,3.3
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),6/20/2023 9:24,9,9.22,0.08,775,0.1,24.9,7.6,47.1,1.83
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),7/12/2023 9:04,28.2,9.26,0.24,87,0.05,26.9,8.8,105,2.17
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),8/8/2023 8:28,27.9,8.87,0.22,64,0.05,26.4,8.5,130,2.31
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),9/13/2023 8:20,26.9,8.75,0.26,192,0.05,24.6,8.6,150,2.26
206451,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),10/11/2023 9:02,14.9,9.55,0.13,14,0.11,18.3,6.8,76.3,2.45
206451,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),12/8/2022 9:46,32.2,9.53,0.11,237,0.2,11.2,7,14,3.27
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),1/17/2023 9:03,11,11.66,0.05,37,0.23,4.9,6.8,7.47,3.62
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),2/14/2023 9:18,6.3,10.53,0.05,192,0.1,7.8,6.3,5.62,3.08
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),3/8/2023 9:05,10.5,11.39,0.06,10,0.11,7.3,6.7,18.5,3.56
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),4/12/2023 9:05,14.5,8.57,0.1,72,0.11,15,6.7,31.8,3.61
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),5/9/2023 10:06,11.1,8.4,0.09,358,0.05,18,6.3,14.6,3.18
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),6/20/2023 9:45,20,7.28,0.12,498,0.38,23.1,6.6,73.7,2.29
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),7/12/2023 9:23,33.7,6.83,0.19,156,0.38,26.5,6.8,128,1.72
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),8/8/2023 8:56,24.6,5.95,0.15,1540,0.3,25.1,6.3,103,1.98
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),9/13/2023 8:40,25,6.06,0.17,4840,0.18,22.5,6.3,64.9,2.5
206561,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),10/11/2023 9:31,35.9,8.61,0.12,242,0.4,16.4,6.5,83.4,2.27
206561,Cow Marsh Creek ,,,,,,,,,,,
Cow Marsh Creek ,207021, Mahan Corner Rd. (Rd. 208),1/31/2023 8:53,3.4,10.8,0.06,5,0.05,8.9,6.5,2.83,1.72
207021,Cow Marsh Creek ,,,,,,,,,,,
Cow Marsh Creek ,207021, Mahan Corner Rd. (Rd. 208),3/22/2023 8:22,2.5,11.13,0.04,10,0.05,9.8,6.6,3.61,1.27
207021,Cow Marsh Creek ,,,,,,,,,,,
Cow Marsh Creek ,207021, Mahan Corner Rd. (Rd. 208),5/30/2023 7:55,5.9,8.2,0.09,38,0.05,18,6.4,1.92,1.53
207021,Cow Marsh Creek ,,,,,,,,,,,
Cow Marsh Creek ,207021, Mahan Corner Rd. (Rd. 208),7/18/2023 8:25,6.2,6.75,0.12,279,0.05,24.7,6.4,4.6,1.47
207021,Cow Marsh Creek ,,,,,,,,,,,
Cow Marsh Creek ,207021, Mahan Corner Rd. (Rd. 208),9/19/2023 9:17,3.8,7.55,0.08,69,0.1,18.6,6.2,5.54,1.4
207021,Cow Marsh Creek ,,,,,,,,,,,
Cow Marsh Creek ,207021, Mahan Corner Rd. (Rd. 208),11/8/2023 9:24,2.1,8.89,0.06,19,0.05,11.6,5.6,2.57,1.58
207021,Tappahanna Ditch ,,,,,,,,,,,
Tappahanna Ditch ,207081, Sandy Bend Rd. (Rd. 222),1/31/2023 8:16,4.8,10.57,0.07,20,0.05,8.8,6.9,1.97,1.63
207081,Tappahanna Ditch ,,,,,,,,,,,
Tappahanna Ditch ,207081, Sandy Bend Rd. (Rd. 222),3/22/2023 7:58,3.1,10.2,0.07,22,0.05,9.6,7,2.76,1.23
207081,Tappahanna Ditch ,,,,,,,,,,,
Tappahanna Ditch ,207081, Sandy Bend Rd. (Rd. 222),5/30/2023 7:29,4.5,7.4,0.11,197,0.05,17.5,6.8,3.75,1.07
207081,Tappahanna Ditch ,,,,,,,,,,,
Tappahanna Ditch ,207081, Sandy Bend Rd. (Rd. 222),7/18/2023 7:46,3.2,5.77,0.17,297,0.05,24.5,6.7,1.46,1.71
207081,Tappahanna Ditch ,,,,,,,,,,,
Tappahanna Ditch ,207081, Sandy Bend Rd. (Rd. 222),9/19/2023 8:41,1.1,6.58,0.1,202,0.11,18.5,6.6,1.35,1.08
207081,Tappahanna Ditch ,,,,,,,,,,,
Tappahanna Ditch ,207081, Sandy Bend Rd. (Rd. 222),11/8/2023 8:32,2.1,8.8,0.06,72,0.1,12.1,6,4.67,0.8
207081,Culbreth Marsh Ditch ,,,,,,,,,,,
Culbreth Marsh Ditch ,207091, Shady Bridge Rd. (Rd. 210),1/31/2023 8:42,4.4,10.46,0.07,31,0.05,9.6,6.5,2.74,2.29
207091,Culbreth Marsh Ditch ,,,,,,,,,,,
Culbreth Marsh Ditch ,207091, Shady Bridge Rd. (Rd. 210),3/22/2023 8:12,0.5,10.25,0.04,15,0.05,9.2,6.6,7.33,1.45
207091,Culbreth Marsh Ditch ,,,,,,,,,,,
Culbreth Marsh Ditch ,207091, Shady Bridge Rd. (Rd. 210),5/30/2023 7:43,3.6,8.08,0.08,84,0.05,17.1,6.4,2.08,2.29
207091,Culbreth Marsh Ditch ,,,,,,,,,,,
Culbreth Marsh Ditch ,207091, Shady Bridge Rd. (Rd. 210),7/18/2023 8:04,10.4,6.49,0.32,775,0.05,23.8,6.4,3.64,2.39
207091,Culbreth Marsh Ditch ,,,,,,,,,,,
Culbreth Marsh Ditch ,207091, Shady Bridge Rd. (Rd. 210),9/19/2023 8:54,3.9,7.42,0.17,663,0.05,17.9,6.3,1.93,3.12
207091,Culbreth Marsh Ditch ,,,,,,,,,,,
Culbreth Marsh Ditch ,207091, Shady Bridge Rd. (Rd. 210),11/8/2023 8:51,2.4,9.54,0.05,26,0.05,12,5.7,3.54,2.68
207091,White Marsh Br. ,,,,,,,,,,,
White Marsh Br. ,207111, Cedar Grove Church Rd. (Rd. 268),1/31/2023 9:14,2.1,10.71,0.03,63,0.1,8.6,6.3,4.23,6.18
207111,White Marsh Br. ,,,,,,,,,,,
White Marsh Br. ,207111, Cedar Grove Church Rd. (Rd. 268),3/22/2023 8:42,3.1,10.65,0.03,29,0.1,9.6,6.4,2.4,6.52
207111,White Marsh Br. ,,,,,,,,,,,
White Marsh Br. ,207111, Cedar Grove Church Rd. (Rd. 268),5/30/2023 8:28,2,8.71,0.06,36,0.1,16.8,6.5,1.79,5.96
207111,White Marsh Br. ,,,,,,,,,,,
White Marsh Br. ,207111, Cedar Grove Church Rd. (Rd. 268),7/18/2023 8:51,3.8,7.12,0.14,1230,0.05,23,6.4,6.66,4.3
207111,White Marsh Br. ,,,,,,,,,,,
White Marsh Br. ,207111, Cedar Grove Church Rd. (Rd. 268),9/19/2023 10:00,3.8,8.65,0.1,551,0.05,18,6.2,5.11,4.17
207111,White Marsh Br. ,,,,,,,,,,,
White Marsh Br. ,207111, Cedar Grove Church Rd. (Rd. 268),11/8/2023 9:52,2,8.8,0.05,299,0.11,11.9,5.6,1.13,5.95
207111,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,12/12/2022 10:07,8.1,10.6,0.04,104,0.39,7.5,7.1,21.5,3.78
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,1/18/2023 9:43,4.2,11.87,0.03,176,0.11,6.1,6.9,8.96,4.9
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,2/15/2023 8:37,7.2,10.9,0.04,6,0.1,9.7,6.5,8.67,5.45
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,3/15/2023 8:33,10.4,12.02,0.04,17,0.1,5.8,6.7,11.7,5.16
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,4/19/2023 8:38,48.2,8.58,0.14,56,0.28,16.9,6.9,120,3.58
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,5/10/2023 9:19,17.4,8.03,0.09,187,0.05,19.4,6.6,47.8,3.09
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,6/21/2023 9:21,11.9,7.11,0.09,3970,0.58,22.5,6.8,63.9,1.87
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,7/13/2023 9:02,26.4,6.94,0.15,303,1.09,28.4,7.2,92.4,1.83
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,8/16/2023 9:07,28.2,6.89,0.09,4840,0.05,27,6.5,72.1,2.1
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,9/12/2023 8:58,23.4,6.8,0.09,168,0.24,25.6,6.5,35,2.5
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,11/14/2023 8:45,12.7,10.88,0.07,2240,0.66,10.1,6.2,34.9,3.84
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,12/12/2022 10:31,89,9.99,0.07,68,27.12,7.6,7.8,21.6,0.43
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,1/18/2023 9:19,136,11.02,0.17,41,21.38,6.5,7.9,45.1,1.35
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,2/15/2023 9:23,142,10.84,0.06,30,22.95,8.6,7.9,68.7,0.69
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,3/15/2023 9:09,280,10.99,0.14,62,14.6,6,7.2,65,1.72
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,4/19/2023 9:01,52.5,8.11,0.02,30,25.85,15,7.6,37.2,0.28
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,5/10/2023 9:37,45.3,7.71,0.13,85,17.22,17.3,7,23.8,1.18
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,6/21/2023 9:45,52.4,5.92,0.07,98,25.9,21.1,7.2,11.6,0.43
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,7/13/2023 9:24,55.6,6.4,0.09,20,28.7,27.3,8,19.7,0.55
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,8/16/2023 9:49,91.9,5.71,0.17,41,27.44,26.9,7.5,40.5,0.79
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,9/12/2023 9:25,19.5,6.5,0.05,30,26.32,25.6,7.4,14.4,0.47
208061,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,11/14/2023 9:25,41.5,9.36,0.02,41,29.2,11,7.3,6,0.55
208061,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),12/12/2022 9:25,1.6,10.87,0.02,32,0.05,7.6,7.1,1.63,6.27
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),1/18/2023 8:03,9.5,12.49,0.05,66,0.05,6.7,6.8,25.7,6.64
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),2/15/2023 7:48,2.4,12.97,0.02,17,0.05,10.1,6.5,4.24,5.87
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),3/15/2023 7:43,1.7,12.81,0.02,4,0.05,6.9,6.7,3.07,6.47
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),4/19/2023 7:36,7.7,11.02,0.08,10,0.05,16.3,7.1,20.8,4.84
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),5/10/2023 7:45,4.8,8.97,0.04,52,0.05,16.2,6.3,5.63,4.85
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),6/21/2023 7:46,3.2,6.51,0.05,413,0.05,21.5,6.6,17.2,2.69
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),7/13/2023 8:14,8.6,6.58,0.06,690,0.05,26.9,6.6,22.2,2.67
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),8/16/2023 8:21,2.6,7.05,0.04,288,0.05,25.4,6.4,10.2,4.21
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),9/12/2023 6:59,4.7,7.05,0.04,61,0.05,22.9,6.2,6.51,3.29
208181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),11/14/2023 8:00,5.7,11.87,0.05,38,0.1,8.8,6.3,6.96,6.15
208181,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,12/12/2022 9:52,4.2,11.5,0.03,10,0.1,8.3,7.3,21.8,3.98
208211,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,1/18/2023 8:32,2.3,12.24,0.02,6,0.05,6.5,7,11.9,5.05
208211,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,2/15/2023 8:16,4.1,11.38,0.03,2,0.05,9.8,6.6,8.45,5.7
208211,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,3/15/2023 8:17,7.6,12.27,0.02,4,0.05,6.3,6.9,11.4,5.06
208211,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,4/19/2023 8:22,5.4,9.61,0.06,6,0.1,20,8.3,6.23,3.32
208211,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,5/10/2023 8:35,3.4,8.09,0.04,4,0.05,18.8,6.5,15.4,2.91
208211,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,6/21/2023 9:09,12.2,7.58,0.05,65,0.1,22.5,6.8,20.8,1.62
208211,Silver Lake ,,,,,,,,,,,
Silver Lake ,#REF!, Maple Ave.,7/13/2023 8:38,18.6,8.49,0.06,113,0.1,28.8,8,20.2,1.42
Silver Lake ,#REF!, Maple Ave.,8/16/2023 8:36,21.4,7.99,0.07,690,0.05,27.9,7,105,2.49
Silver Lake ,#REF!, Maple Ave.,9/12/2023 8:42,19.1,8.24,0.05,22,0.05,25.7,7,56.9,2.62
Silver Lake ,#REF!, Maple Ave.,11/14/2023 8:30,4.7,11.58,0.04,6,0.1,10.1,6.4,26.8,4.35
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),12/12/2022 8:35,1.4,10.27,0.02,147,0.05,8.9,7.1,1.67,6.35
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),1/18/2023 7:44,0.5,10.38,0.02,78,0.05,10.1,6.7,1.02,6.28
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),2/15/2023 7:26,1.7,10.09,0.02,55,0.05,10.5,6.3,1.11,5.93
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),3/15/2023 7:22,1,11.28,0.01,231,0.05,7.3,6.6,0.93,6.17
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),4/19/2023 7:12,2.2,9.9,0.02,27,0.05,11.3,6.9,2,6.54
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),5/10/2023 7:12,3.8,10.12,0.03,70,0.05,12.5,6.3,2.24,5.93
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),6/21/2023 7:35,10.1,8.72,0.02,690,0.12,17.8,6.8,3.25,5.72
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),7/13/2023 6:51,6.3,8.57,0.04,2240,0.05,19.4,6.5,1.3,5.82
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),8/16/2023 7:47,3.5,7.95,0.06,4840,0.05,20.6,6.3,1.56,5.36
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),9/12/2023 6:47,5.2,8.39,0.06,977,0.05,18.8,6.3,1.51,5.52
Beaverdam Branch ,#REF!, Deep Grass Ln. (Rd. 384),11/14/2023 7:29,0.5,9.46,0.02,146,0.05,9.9,6,0.52,6.25
