OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-015-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-27,09:54:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-307011,Records Pond @ Willow Street,,,,,38.5585900000,-75.5672780000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013893612,Not Detected,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-02-28,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-015-SPM-002-Water/results/1013893612/resdetectqntlmts,Sample Detection Limit,0.004,mg/L,,2024-03-28T14:22:19,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401002-003-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-10,08:43:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-101061,Naaman Creek South Branch @ Marsh Rd. (Rt. 3),,,,,39.8151280000,-75.4897660000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013889674,,as N,"Total Nitrogen, mixed forms",Unfiltered,1.46,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-01-12,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401002-003-SPM-002-Water/results/1013889674/resdetectqntlmts,Lower Quantitation Limit,0.100,mg/L,,2024-03-28T14:17:23,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401029-002-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-06,08:24:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-106291,Christina River near Conrail Bridge  (USGS gage 01481602),,,,,39.7322940000,-75.5326650000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891215,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.076,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401029-002-SPM-002-Water/results/1013891215/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:19:22,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401017-004-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-17,10:17:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-303181,Beaverdam Creek @ Carpenter Rd. (Rd. 259),,,,,38.7388990000,-75.2693520000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890531,,as N,"Total Nitrogen, mixed forms",Unfiltered,2.26,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-01-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401017-004-SPM-002-Water/results/1013890531/resdetectqntlmts,Lower Quantitation Limit,0.100,mg/L,,2024-03-28T14:18:28,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401029-016-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-06,09:31:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-105031,White Clay Creek @ Chambers Rock Rd. (Rd. 329),,,,,39.7327200000,-75.7599530000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891743,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.030,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401029-016-SPM-002-Water/results/1013891743/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:19:56,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401007-012-SPM-004-Water,Quality Control Sample-Field Blank,Water,Surface Water,2024-01-18,10:29:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-206091,Murderkill River @ Bay Rd. (Rt. 1/113),,,,,39.0108200000,-75.4583710000,Water Bottle,21DELAWQ_WQX,Grab Sample Collected With A Water Bottle,,Water Bottle,STORET-1013890156,Not Detected,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-01-22,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401007-012-SPM-004-Water/results/1013890156/resdetectqntlmts,Sample Detection Limit,0.020,mg/L,,2024-03-28T14:17:56,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401002-004-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-01-10,09:13:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-102081,Shellpot Creek @ Carr Rd.,,,,,39.7782760000,-75.5075230000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013889706,,as N,Ammonia,Unfiltered,0.032,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,Delaware DNREC Environmental Laboratory,2024-01-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401002-004-SPM-004-Water/results/1013889706/resdetectqntlmts,Lower Quantitation Limit,0.020,mg/L,,2024-03-28T14:17:26,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401001-004-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-01-09,09:27:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-104021,Brandywine Creek @ New Bridge Rd. (Rd. 279) (USGS gage 01481500),,,,,39.7698320000,-75.5788440000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013889014,,as N,Nitrate + Nitrite,Unfiltered,2.25,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-01-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401001-004-SPM-004-Water/results/1013889014/resdetectqntlmts,Lower Quantitation Limit,0.030,mg/L,,2024-03-28T14:16:38,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401016-004-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-17,09:01:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-208021,Mispillion River @ Rt. 1,,,,,38.9175240000,-75.4022380000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890267,,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",0.014,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-01-18,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401016-004-SPM-002-Water/results/1013890267/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:18:05,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401017-009-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-17,11:22:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-303061,Broadkill River 0.10 Miles From Mouth,,,,,38.7905990000,-75.1634910000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890663,,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",0.014,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-01-18,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401017-009-SPM-002-Water/results/1013890663/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:18:39,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401029-004-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-06,09:23:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-104021,Brandywine Creek @ New Bridge Rd. (Rd. 279) (USGS gage 01481500),,,,,39.7698320000,-75.5788440000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891287,,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",0.024,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-02-07,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401029-004-SPM-002-Water/results/1013891287/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:19:27,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402004-007-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-14,11:14:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-205191,Silver Lake @ Spillway (Dover City Park),,,,,39.1682910000,-75.5212240000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013892452,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.089,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-19,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402004-007-SPM-002-Water/results/1013892452/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:20:54,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402004-003-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-02-14,08:21:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-205091,St. Jones River @ East Lebanon Rd. (Rt. 10),,,,,39.1261200000,-75.4980400000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013892351,,as N,Ammonia,Unfiltered,0.106,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,Delaware DNREC Environmental Laboratory,2024-02-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402004-003-SPM-004-Water/results/1013892351/resdetectqntlmts,Lower Quantitation Limit,0.020,mg/L,,2024-03-28T14:20:46,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401027-003-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-31,09:00:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-109251,Deep Creek Branch @ Summit Bridge Rd. (Rt. 71),,,,,39.4310000000,-75.7096000000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891019,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.049,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-02,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401027-003-SPM-002-Water/results/1013891019/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:19:09,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-014-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-27,10:14:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-307031,Broad Creek @ Bethel Rd. (Rd. 493),,,,,38.5686160000,-75.6190410000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013893570,,as N,"Total Nitrogen, mixed forms",Unfiltered,6.60,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-03-05,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-014-SPM-002-Water/results/1013893570/resdetectqntlmts,Lower Quantitation Limit,0.200,mg/L,,2024-03-28T14:22:16,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401027-001-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-01-31,07:25:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-205011,"St. Jones River @ mouth, Bowers Beach",,,,,39.0661110000,-75.4005550000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890949,,as N,Ammonia,"Filtered, field",0.098,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,Delaware DNREC Environmental Laboratory,2024-02-02,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401027-001-SPM-004-Water/results/1013890949/resdetectqntlmts,Lower Quantitation Limit,0.020,mg/L,,2024-03-28T14:19:04,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401002-005-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-10,09:34:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-102051,Shellpot Creek @ Market St. (Rt. 13 Bus.),,,,,39.7630060000,-75.5168730000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013889729,,as P,"Total Phosphorus, mixed forms",Unfiltered,0.103,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-01-12,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401002-005-SPM-002-Water/results/1013889729/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:17:28,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-006-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-02-27,09:55:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-316011,Gravelly Branch @ Coverdale Rd. (Rd. 525),,,,,38.6870940000,-75.5480170000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013893300,,as N,Ammonia,Unfiltered,0.039,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,Delaware DNREC Environmental Laboratory,2024-03-01,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-006-SPM-004-Water/results/1013893300/resdetectqntlmts,Lower Quantitation Limit,0.020,mg/L,,2024-03-28T14:21:58,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-001-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-27,07:56:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-307371,Raccoon Prong @ Pepperbox Rd. (Rd. 66),,,,,38.4971220000,-75.4519250000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013893145,,as N,"Total Nitrogen, mixed forms",Unfiltered,1.25,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-03-05,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-001-SPM-002-Water/results/1013893145/resdetectqntlmts,Lower Quantitation Limit,0.100,mg/L,,2024-03-28T14:21:48,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401007-008-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-18,10:50:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-206101,Murderkill River @ Bowers Beach Wharf (mouth),,,,,39.0584080000,-75.3966220000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890083,,as N,"Total Nitrogen, mixed forms",Unfiltered,2.46,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-01-24,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401007-008-SPM-002-Water/results/1013890083/resdetectqntlmts,Lower Quantitation Limit,0.100,mg/L,,2024-03-28T14:17:52,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402006-007-SPM-004-Water,Quality Control Sample-Field Blank,Water,Surface Water,2024-02-20,09:53:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-206451,Coursey Pond @ Canterbury Rd. (Rt. 15),,,,,38.9888890000,-75.5108240000,Water Bottle,21DELAWQ_WQX,Grab Sample Collected With A Water Bottle,,Water Bottle,STORET-1013892749,Not Detected,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-02-22,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402006-007-SPM-004-Water/results/1013892749/resdetectqntlmts,Sample Detection Limit,0.020,mg/L,,2024-03-28T14:21:15,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401026-003-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-30,08:52:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-207091,Culbreth Marsh Ditch @ Shady Bridge Rd. (Rd. 210),,,,,39.0719700000,-75.7309900000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890817,,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",0.057,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-01-31,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401026-003-SPM-002-Water/results/1013890817/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:18:53,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-011-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-27,07:47:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-304371,Clear BrooK @ Cannon Rd. (Rt. 18),,,,,38.6950540000,-75.6019900000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013893462,,as N,"Total Nitrogen, mixed forms",Unfiltered,5.84,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-03-05,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-011-SPM-002-Water/results/1013893462/resdetectqntlmts,Lower Quantitation Limit,0.200,mg/L,,2024-03-28T14:22:09,STORET
