station_id,timestamp,tss_result_type,tss_detection_condition,tss_value,tss_units,do_result_type,do_detection_condition,do_value,do_units,ph_result_type,ph_detection_condition,ph_value,ph_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units
21DELAWQ_WQX-109251,2015-03-11 11:58:00,Actual,Detected,11,mg/l,Actual,Detected,11.32,mg/l,Actual,Detected,7.24,ph,Actual,Detected,6.38,ug/l,Actual,Detected,2.07,mg/l,Actual,Detected,457,cfu/100 ml,Actual,Detected,0.36,ppt,Actual,Detected,7.65,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2015-04-22 13:04:00,Actual,Detected,4,mg/l,Actual,Detected,6.8,mg/l,Actual,Detected,7.33,ph,Actual,Detected,9.03,ug/l,Actual,Detected,2.38,mg/l,Actual,Detected,120,cfu/100 ml,Actual,Detected,0.39,ppt,Actual,Detected,17.33,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2015-01-07 10:00:00,Actual,Detected,34,mg/l,Actual,Detected,11.46,mg/l,Actual,Detected,7.09,ph,Actual,Detected,1.75,ug/l,Actual,Detected,3.53,mg/l,Actual,Detected,85,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,3.64,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2015-04-08 09:39:00,Actual,Detected,5,mg/l,Actual,Detected,10.28,mg/l,Actual,Detected,7.11,ph,Actual,Detected,16.1,ug/l,Actual,Detected,3.38,mg/l,Actual,Detected,82,cfu/100 ml,Actual,Detected,0.2,ppt,Actual,Detected,9.94,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2015-02-04 09:49:00,Actual,Detected,4,mg/l,Actual,Detected,13.12,mg/l,Actual,Detected,6.77,ph,Actual,Detected,2.88,ug/l,Actual,Detected,3.04,mg/l,Actual,Detected,134,cfu/100 ml,Actual,Detected,0.26,ppt,Actual,Detected,5.24,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2015-11-04 09:21:00,Actual,Detected,3,mg/l,Actual,Detected,9.24,mg/l,Actual,Detected,6.96,ph,Actual,Detected,1.04,ug/l,Actual,Detected,4.27,mg/l,Actual,Detected,160,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,13.16,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2016-09-19 10:20:00,Actual,Detected,48,mg/l,Actual,Detected,8.32,mg/l,Actual,Detected,6.79,ph,Actual,Detected,9.61,ug/l,Actual,Detected,3.11,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,20.38,Deg C.,Actual,Detected,0.22,mg/l
21DELAWQ_WQX-109251,2016-05-31 09:58:00,Actual,Detected,10,mg/l,Actual,Detected,8.2,mg/l,Actual,Detected,7.01,ph,Actual,Detected,9.57,ug/l,Actual,Detected,2.31,mg/l,Actual,Detected,523,cfu/100 ml,Actual,Detected,0.19,ppt,Actual,Detected,21.08,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2016-02-24 12:19:00,Actual,Detected,195,mg/l,Actual,Detected,11.73,mg/l,Actual,Detected,7.9,ph,Actual,Detected,11.8,ug/l,Actual,Detected,1.63,mg/l,Actual,Detected,3110,cfu/100 ml,Actual,Detected,0.62,ppt,Actual,Detected,8.9,Deg C.,Actual,Detected,0.4,mg/l
21DELAWQ_WQX-109251,2016-04-04 09:55:00,Actual,Detected,6,mg/l,Actual,Detected,10.49,mg/l,Actual,Detected,7,ph,Actual,Detected,8.05,ug/l,Actual,Detected,3.37,mg/l,Actual,Detected,821,cfu/100 ml,Actual,Detected,0.22,ppt,Actual,Detected,11.65,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2016-09-20 11:44:00,Actual,Detected,7,mg/l,Actual,Detected,7.23,mg/l,Actual,Detected,6.88,ph,Actual,Detected,11.9,ug/l,Actual,Detected,3.2,mg/l,Actual,Detected,551,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,19.91,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2016-03-07 09:25:00,Actual,Detected,4,mg/l,Actual,Detected,11.06,mg/l,Actual,Detected,7.27,ph,Actual,Detected,3.74,ug/l,Actual,Detected,3.67,mg/l,Actual,Detected,75,cfu/100 ml,Actual,Detected,0.19,ppt,Actual,Detected,8.08,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2016-11-14 10:19:00,Actual,Detected,4,mg/l,Actual,Detected,9.28,mg/l,Actual,Detected,8.13,ph,Actual,Detected,1.03,ug/l,Actual,Detected,3.87,mg/l,Actual,Detected,37,cfu/100 ml,Actual,Detected,0.18,ppt,Actual,Detected,9.66,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2016-12-05 09:27:00,Estimated,Detected,4.1,mg/l,Actual,Detected,9.93,mg/l,Actual,Detected,7.06,ph,Actual,Detected,2.08,ug/l,Actual,Detected,3.45,mg/l,Actual,Detected,63,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,10.35,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2016-02-02 09:35:00,Actual,Detected,3,mg/l,Actual,Detected,11.65,mg/l,Actual,Detected,6.9,ph,Actual,Detected,5.37,ug/l,Actual,Detected,2.81,mg/l,Actual,Detected,118,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,6.06,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2016-09-29 12:09:00,Actual,Detected,46,mg/l,Actual,Detected,7.57,mg/l,Actual,Detected,7.08,ph,Actual,Detected,20.5,ug/l,Actual,Detected,1.61,mg/l,Actual,Detected,1630,cfu/100 ml,Actual,Not Detected,0.05,ppt,Actual,Detected,19.16,Deg C.,Actual,Detected,0.16,mg/l
21DELAWQ_WQX-109251,2016-06-07 09:53:00,Actual,Detected,3,mg/l,Actual,Detected,7.94,mg/l,Actual,Detected,6.99,ph,Actual,Detected,1.83,ug/l,Actual,Detected,3.5,mg/l,Actual,Detected,1230,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,18.3,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2016-08-02 09:57:00,Actual,Detected,6,mg/l,Actual,Detected,7.76,mg/l,Actual,Detected,6.99,ph,Actual,Detected,5.33,ug/l,Actual,Detected,2.82,mg/l,Actual,Detected,308,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,21.5,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2016-01-06 08:58:00,Actual,Detected,4,mg/l,Actual,Detected,11.21,mg/l,Actual,Detected,7.73,ph,Actual,Detected,2.39,ug/l,Actual,Detected,3.66,mg/l,Actual,Detected,258,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,4.6,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2016-05-03 11:44:00,Actual,Detected,14,mg/l,Actual,Detected,8.51,mg/l,Actual,Detected,7.45,ph,Actual,Detected,8.36,ug/l,Actual,Detected,2.47,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.37,ppt,Actual,Detected,14.59,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2016-10-04 09:48:00,Actual,Detected,4,mg/l,Actual,Detected,8.64,mg/l,Actual,Detected,6.69,ph,Actual,Detected,37.4,ug/l,Actual,Detected,2.96,mg/l,Actual,Detected,208,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,16.89,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2016-07-13 10:16:00,Actual,Detected,3,mg/l,Actual,Detected,8.35,mg/l,Actual,Detected,7.12,ph,Actual,Detected,1.6,ug/l,Actual,Detected,4,mg/l,Actual,Detected,22,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,19.06,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2017-01-17 09:29:00,Actual,Detected,7.7,mg/l,Actual,Detected,9.47,mg/l,Actual,Detected,7.69,ph,Actual,Detected,2.16,ug/l,Actual,Detected,4.12,mg/l,Actual,Detected,84,cfu/100 ml,Actual,Detected,0.2,ppt,Actual,Detected,8.86,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2017-10-03 09:58:00,Actual,Detected,8.1,mg/l,Actual,Detected,9.37,mg/l,Actual,Detected,7.32,ph,Actual,Detected,2.63,ug/l,Actual,Detected,5.62,mg/l,Actual,Detected,775,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,14.4,Deg C.,Actual,Detected,0.08,mg/l
21DELAWQ_WQX-109251,2017-10-30 12:15:00,Actual,Detected,18.7,mg/l,Actual,Detected,9.2,mg/l,Actual,Detected,8.37,ph,Actual,Detected,20.8,ug/l,Actual,Detected,1.36,mg/l,Actual,Detected,3110,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,15.22,Deg C.,Actual,Detected,0.09,mg/l
21DELAWQ_WQX-109251,2017-08-08 12:22:00,Actual,Detected,6.6,mg/l,Actual,Detected,7.44,mg/l,Actual,Detected,7.33,ph,Actual,Detected,15.2,ug/l,Actual,Detected,2.42,mg/l,Actual,Detected,731,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,21.72,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2017-02-13 10:15:00,Actual,Detected,5.9,mg/l,Actual,Detected,11.63,mg/l,Actual,Detected,6.79,ph,Actual,Detected,9.87,ug/l,Actual,Detected,3.13,mg/l,Actual,Detected,122,cfu/100 ml,Actual,Detected,0.36,ppt,Actual,Detected,5.71,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2017-04-03 09:51:00,Actual,Detected,6.9,mg/l,Actual,Detected,9.8,mg/l,Actual,Detected,6.47,ph,Actual,Detected,3.11,ug/l,Actual,Detected,3.94,mg/l,Actual,Detected,86,cfu/100 ml,Actual,Detected,0.18,ppt,Actual,Detected,11.32,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2017-11-14 09:13:00,Estimated,Detected,2.1,mg/l,Actual,Detected,9.93,mg/l,Actual,Detected,6.78,ph,Actual,Detected,1.06,ug/l,Actual,Detected,5.23,mg/l,Actual,Detected,229,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,9.36,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2017-09-13 09:42:00,Actual,Detected,29.3,mg/l,Actual,Detected,8.65,mg/l,Actual,Detected,6.88,ph,Actual,Detected,9.17,ug/l,Actual,Detected,5.44,mg/l,Actual,Detected,407,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,17.09,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2017-05-03 10:04:00,Actual,Detected,7.3,mg/l,Actual,Detected,8.87,mg/l,Actual,Detected,6.88,ph,Actual,Detected,2.65,ug/l,Actual,Detected,5.47,mg/l,Actual,Detected,150,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,15.07,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2017-08-02 09:46:00,Actual,Detected,4.1,mg/l,Actual,Detected,7.97,mg/l,Actual,Detected,7.06,ph,Actual,Detected,2.02,ug/l,Actual,Detected,3.69,mg/l,Actual,Detected,794,cfu/100 ml,Actual,Detected,0.19,ppt,Actual,Detected,20.28,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2017-03-22 09:06:00,Estimated,Detected,2.2,mg/l,Actual,Detected,10.8,mg/l,Actual,Detected,7.25,ph,Actual,Detected,1.01,ug/l,Actual,Detected,4.2,mg/l,Actual,Detected,203,cfu/100 ml,Actual,Detected,0.19,ppt,Actual,Detected,9.6,Deg C.,Actual,Detected,0.01,mg/l
21DELAWQ_WQX-109251,2017-06-06 10:04:00,Actual,Detected,3.2,mg/l,Actual,Detected,8.47,mg/l,Actual,Detected,7.31,ph,Actual,Detected,3.69,ug/l,Actual,Detected,4.83,mg/l,Actual,Detected,821,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,17.18,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2017-07-19 09:59:00,Actual,Detected,9.4,mg/l,Actual,Detected,7.94,mg/l,Actual,Detected,7.08,ph,Actual,Detected,4.31,ug/l,Actual,Detected,3.81,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.1,ppt,Actual,Detected,22.22,Deg C.,Actual,Detected,0.09,mg/l
21DELAWQ_WQX-109251,2017-12-05 09:24:00,Estimated,Detected,1.3,mg/l,Actual,Detected,9.99,mg/l,Actual,Detected,7.05,ph,Actual,Detected,0.7,ug/l,Actual,Detected,5.79,mg/l,Actual,Detected,127,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,11.15,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2018-11-14 09:44:00,Actual,Detected,5,mg/l,Actual,Detected,10.58,mg/l,Actual,Detected,6.55,ph,Actual,Detected,2.61,ug/l,Actual,Detected,3.86,mg/l,Actual,Detected,71,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,8.54,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2018-06-05 08:48:00,Actual,Detected,4.9,mg/l,Actual,Detected,8.54,mg/l,Actual,Detected,6.8,ph,Actual,Detected,2.56,ug/l,Actual,Detected,4.71,mg/l,Actual,Detected,259,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,19.04,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2018-05-14 09:59:00,Actual,Detected,18.2,mg/l,Actual,Detected,9.05,mg/l,Actual,Detected,7.26,ph,Actual,Detected,7.3,ug/l,Actual,Detected,2.98,mg/l,Actual,Detected,472,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,16.04,Deg C.,Actual,Detected,0.09,mg/l
21DELAWQ_WQX-109251,2018-04-25 09:14:00,Actual,Detected,5.7,mg/l,Actual,Detected,9.43,mg/l,Actual,Detected,7.02,ph,Actual,Detected,12.1,ug/l,Actual,Detected,2.3,mg/l,Actual,Detected,456,cfu/100 ml,Actual,Detected,0.44,ppt,Actual,Detected,14.4,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2018-12-13 10:22:00,Actual,Detected,3.3,mg/l,Actual,Detected,13.1,mg/l,Actual,Detected,6.95,ph,Actual,Detected,4.86,ug/l,Actual,Detected,5.28,mg/l,Actual,Detected,26,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,7.84,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2018-12-05 09:22:00,Actual,Detected,2.7,mg/l,Actual,Detected,11.62,mg/l,Actual,Detected,6.6,ph,Actual,Detected,1.75,ug/l,Actual,Detected,5.03,mg/l,Actual,Detected,50,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,6.76,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2018-03-12 10:04:00,Actual,Detected,3.1,mg/l,Actual,Detected,11.59,mg/l,Actual,Detected,6.65,ph,Actual,Detected,4.27,ug/l,Actual,Detected,4.62,mg/l,Actual,Detected,13,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,6.65,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2018-10-17 09:47:00,Actual,Detected,3.8,mg/l,Actual,Detected,9.38,mg/l,Actual,Detected,8.45,ph,Actual,Detected,1.04,ug/l,Actual,Detected,4.52,mg/l,Actual,Detected,120,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,14.79,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2018-09-10 14:21:00,Actual,Detected,16.7,mg/l,Actual,Detected,8.28,mg/l,Actual,Detected,6.83,ph,Actual,Detected,3.73,ug/l,Actual,Detected,2.13,mg/l,Actual,Detected,569,cfu/100 ml,Actual,Not Detected,0.05,ppt,Actual,Detected,19.54,Deg C.,Actual,Detected,0.08,mg/l
21DELAWQ_WQX-109251,2018-01-17 09:08:00,Actual,Detected,4.7,mg/l,Actual,Detected,10.35,mg/l,Actual,Detected,8.61,ph,Actual,Detected,1.21,ug/l,Actual,Detected,3.95,mg/l,Actual,Detected,97,cfu/100 ml,Actual,Detected,0.23,ppt,Actual,Detected,5.52,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2018-09-05 08:59:00,Actual,Detected,11.5,mg/l,Actual,Detected,7.95,mg/l,Actual,Detected,7,ph,Actual,Detected,1.77,ug/l,Actual,Detected,3.49,mg/l,Actual,Detected,2090,cfu/100 ml,Actual,Detected,0.1,ppt,Actual,Detected,22.52,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2018-02-07 09:58:00,Actual,Detected,3.7,mg/l,Actual,Detected,11.36,mg/l,Actual,Detected,7.09,ph,Actual,Detected,6.97,ug/l,Actual,Detected,5.47,mg/l,Actual,Detected,40,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,5.75,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2018-07-11 09:42:00,Actual,Detected,3.1,mg/l,Actual,Detected,8.37,mg/l,Actual,Detected,8.29,ph,Actual,Detected,1.69,ug/l,Actual,Detected,5,mg/l,Actual,Detected,1100,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,22.11,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2018-08-15 10:41:00,Actual,Detected,6.5,mg/l,Actual,Detected,7.77,mg/l,Actual,Detected,7.04,ph,Actual,Detected,3.5,ug/l,Actual,Detected,3.66,mg/l,Actual,Detected,449,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,23.7,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2018-02-12 11:30:00,Actual,Detected,44.9,mg/l,Actual,Detected,10.82,mg/l,Actual,Detected,7.18,ph,Actual,Detected,26.8,ug/l,Actual,Detected,1.61,mg/l,Actual,Detected,801,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,9.99,Deg C.,Actual,Detected,0.23,mg/l
21DELAWQ_WQX-109251,2019-07-02 10:01:00,Actual,Detected,4.2,mg/l,Actual,Detected,8.27,mg/l,Actual,Detected,7.31,ph,Actual,Detected,1.37,ug/l,Actual,Detected,5.59,mg/l,Actual,Detected,311,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,22.52,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2019-05-06 09:43:00,Actual,Detected,6.3,mg/l,Actual,Detected,9,mg/l,Actual,Detected,6.51,ph,Actual,Detected,1.55,ug/l,Actual,Detected,4.9,mg/l,Actual,Detected,429,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,15.29,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2019-05-13 11:21:00,Actual,Detected,8.3,mg/l,Actual,Detected,9.5,mg/l,Actual,Detected,6.69,ph,Actual,Detected,1.94,ug/l,Actual,Detected,4.47,mg/l,Actual,Detected,311,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,13.13,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2019-03-05 08:55:00,Actual,Detected,10.3,mg/l,Actual,Detected,12.24,mg/l,Actual,Detected,6.31,ph,Actual,Detected,5.08,ug/l,Actual,Detected,4.83,mg/l,Actual,Detected,52,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,4.28,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2019-10-15 08:58:00,Actual,Detected,4.4,mg/l,Actual,Detected,9.81,mg/l,Actual,Detected,7,ph,Actual,Detected,1.46,ug/l,Actual,Detected,6.11,mg/l,Actual,Detected,690,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,13.54,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2019-01-15 09:31:00,Actual,Detected,3.6,mg/l,Actual,Detected,12.14,mg/l,Actual,Detected,6.65,ph,Actual,Detected,2.45,ug/l,Actual,Detected,6.03,mg/l,Actual,Detected,32,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,4.29,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2019-12-10 10:05:00,Actual,Detected,8.7,mg/l,Actual,Detected,10.57,mg/l,Actual,Detected,7.14,ph,Actual,Detected,13,ug/l,Actual,Detected,3.66,mg/l,Actual,Detected,480,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,10.2,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2019-09-04 09:51:00,Actual,Detected,4.4,mg/l,Actual,Detected,8.19,mg/l,Actual,Detected,6.7,ph,Actual,Detected,2.29,ug/l,Actual,Detected,5.37,mg/l,Actual,Detected,300,cfu/100 ml,Actual,Detected,0.31,ppt,Actual,Detected,24.79,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2019-11-06 10:55:00,Actual,Detected,5.1,mg/l,Actual,Detected,10.05,mg/l,Actual,Detected,7.35,ph,Actual,Detected,23.5,ug/l,Actual,Detected,5.18,mg/l,Actual,Detected,297,cfu/100 ml,Actual,Detected,0.19,ppt,Actual,Detected,12.14,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2019-06-05 09:53:00,Actual,Detected,5.3,mg/l,Actual,Detected,9.88,mg/l,Actual,Detected,7.03,ph,Actual,Detected,1.63,ug/l,Actual,Detected,4.34,mg/l,Actual,Detected,198,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,24.48,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2019-02-11 09:57:00,Actual,Detected,5.6,mg/l,Actual,Detected,12.08,mg/l,Actual,Detected,8.2,ph,Actual,Detected,6.05,ug/l,Actual,Detected,5.52,mg/l,Actual,Detected,82,cfu/100 ml,Actual,Detected,0.2,ppt,Actual,Detected,6.03,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2019-04-17 09:41:00,Actual,Detected,5.5,mg/l,Actual,Detected,9.85,mg/l,Actual,Detected,7.71,ph,Actual,Detected,2.06,ug/l,Actual,Detected,6.29,mg/l,Actual,Detected,24,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,14.17,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2019-08-12 09:15:00,Actual,Detected,3.8,mg/l,Actual,Detected,8.39,mg/l,Actual,Detected,7.26,ph,Actual,Detected,2.4,ug/l,Actual,Detected,5.65,mg/l,Actual,Detected,757,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,21.25,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2019-10-17 11:07:00,Actual,Detected,5.1,mg/l,Actual,Detected,9.74,mg/l,Actual,Detected,8.75,ph,Actual,Detected,2.33,ug/l,Actual,Detected,4.46,mg/l,Actual,Detected,1540,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,13.98,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2020-11-05 10:20:00,Actual,Detected,6.8,mg/l,Actual,Detected,9.98,mg/l,Actual,Detected,6.99,ph,Actual,Detected,1.46,ug/l,Actual,Detected,4.97,mg/l,Actual,Detected,96,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,13.2,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2020-01-07 10:02:00,Actual,Detected,3.9,mg/l,Actual,Detected,11.54,mg/l,Actual,Detected,7.06,ph,Actual,Detected,5.73,ug/l,Actual,Detected,5.94,mg/l,Actual,Detected,69,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,6.93,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2020-05-06 10:03:00,Actual,Detected,9.5,mg/l,Actual,Detected,9.68,mg/l,Actual,Detected,7.14,ph,Actual,Detected,3.25,ug/l,Actual,Detected,4.72,mg/l,Actual,Detected,88,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,13.39,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2020-08-13 09:16:00,Actual,Detected,7.1,mg/l,Actual,Detected,7.92,mg/l,Actual,Detected,6.65,ph,Actual,Detected,5.6,ug/l,Actual,Detected,4.02,mg/l,Actual,Detected,3970,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,22.75,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2020-09-02 08:51:00,Actual,Detected,3.8,mg/l,Actual,Detected,8.28,mg/l,Actual,Detected,6.5,ph,Actual,Detected,1.27,ug/l,Actual,Detected,4.79,mg/l,Actual,Detected,582,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,21.22,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2020-12-02 09:30:00,Actual,Detected,4.6,mg/l,Actual,Detected,10.62,mg/l,Actual,Detected,6.87,ph,Actual,Detected,5.28,ug/l,Actual,Detected,4.07,mg/l,Actual,Detected,138,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,8.68,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2020-10-13 08:49:00,Actual,Detected,5.6,mg/l,Actual,Detected,9.03,mg/l,Actual,Detected,6.88,ph,Actual,Detected,1.05,ug/l,Actual,Detected,4.24,mg/l,Actual,Detected,870,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,15.71,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2020-02-11 09:08:00,Actual,Detected,15.7,mg/l,Actual,Detected,10.74,mg/l,Actual,Detected,6.74,ph,Actual,Detected,6.34,ug/l,Actual,Detected,4.21,mg/l,Actual,Detected,2090,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,9.54,Deg C.,Actual,Detected,0.1,mg/l
21DELAWQ_WQX-109251,2020-03-10 09:08:00,Actual,Detected,8.1,mg/l,Actual,Detected,9.99,mg/l,Actual,Detected,6.63,ph,Actual,Detected,5.36,ug/l,Actual,Detected,5.76,mg/l,Actual,Detected,32,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,12.96,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2020-07-08 08:47:00,Actual,Detected,3.6,mg/l,Actual,Detected,8.33,mg/l,Actual,Detected,6.7,ph,Actual,Detected,1.38,ug/l,Actual,Detected,5.13,mg/l,Actual,Detected,2090,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,21.75,Deg C.,Actual,Detected,0.06,mg/l
