station_id,timestamp,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units,ph_result_type,ph_detection_condition,ph_value,ph_units,do_result_type,do_detection_condition,do_value,do_units,tss_result_type,tss_detection_condition,tss_value,tss_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units
21DELAWQ_WQX-114051,2022-10-05 09:22:00,Actual,Detected,0.15,ppt,Actual,Detected,2360,cfu/100 ml,Actual,Detected,0.31,ug/l,Actual,Detected,0.05,mg/l,Actual,Detected,1.42,mg/l,Actual,Detected,7.13,ph,Actual,Detected,10.14,mg/l,Actual,Detected,12.8,mg/l,Actual,Detected,15.22,Deg C.
21DELAWQ_WQX-114051,2023-01-04 08:00:00,Actual,Detected,0.26,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.26,ug/l,Actual,Detected,0.32,mg/l,Actual,Detected,3.31,mg/l,Actual,Detected,6.77,ph,Actual,Detected,8.86,mg/l,Estimated,Present Below Quantification Limit,8,mg/l,Actual,Detected,10.55,Deg C.
21DELAWQ_WQX-114051,2023-09-06 09:22:00,Actual,Detected,0.2,ppt,Actual,Detected,1730,cfu/100 ml,Actual,Detected,1.77,ug/l,Actual,Detected,0.05,mg/l,Actual,Detected,2.13,mg/l,Actual,Detected,7.15,ph,Actual,Detected,6.6,mg/l,Actual,Detected,2.6,mg/l,Actual,Detected,25.61,Deg C.
21DELAWQ_WQX-114051,2023-07-11 10:19:00,Actual,Detected,0.21,ppt,Actual,Detected,922,cfu/100 ml,Actual,Detected,0.4,ug/l,Actual,Detected,0.05,mg/l,Actual,Detected,1.79,mg/l,Actual,Detected,6.95,ph,Actual,Detected,8.15,mg/l,Actual,Detected,2.6,mg/l,Actual,Detected,22.63,Deg C.
21DELAWQ_WQX-114051,2023-11-02 08:07:00,Actual,Not Detected,0.05,ppt,Actual,Detected,582,cfu/100 ml,Actual,Detected,2.2,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,2.29,mg/l,Actual,Detected,6.97,ph,Actual,Detected,9.45,mg/l,Actual,Detected,4.9,mg/l,Actual,Detected,7.99,Deg C.
21DELAWQ_WQX-114051,2022-07-05 08:51:00,Actual,Detected,0.21,ppt,Actual,Detected,420,cfu/100 ml,Actual,Detected,0.63,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.66,mg/l,Actual,Detected,7.02,ph,Actual,Detected,8.7,mg/l,Estimated,Present Below Quantification Limit,1.9,mg/l,Actual,Detected,21.9,Deg C.
21DELAWQ_WQX-114051,2022-08-03 08:17:00,Actual,Detected,0.18,ppt,Actual,Detected,1370,cfu/100 ml,Actual,Detected,0.6,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.33,mg/l,Actual,Detected,7.13,ph,Actual,Detected,7.76,mg/l,Actual,Detected,3.5,mg/l,Actual,Detected,23.19,Deg C.
21DELAWQ_WQX-114051,2023-02-07 08:19:00,Actual,Detected,0.2,ppt,Actual,Detected,120,cfu/100 ml,Actual,Detected,0.32,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.66,mg/l,Actual,Detected,6.95,ph,Actual,Detected,12.58,mg/l,Actual,Detected,2.5,mg/l,Actual,Detected,3.79,Deg C.
21DELAWQ_WQX-114051,2023-03-01 08:27:00,Actual,Detected,0.24,ppt,Actual,Detected,449,cfu/100 ml,Actual,Detected,1.95,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,1.36,mg/l,Actual,Detected,6.81,ph,Actual,Detected,10.6,mg/l,Actual,Detected,6.5,mg/l,Actual,Detected,5.76,Deg C.
21DELAWQ_WQX-114051,2023-06-07 08:25:00,Actual,Detected,0.32,ppt,Actual,Detected,120,cfu/100 ml,Actual,Detected,23.8,ug/l,Actual,Detected,0.08,mg/l,Actual,Detected,2.07,mg/l,Actual,Detected,7,ph,Actual,Detected,9.07,mg/l,Actual,Detected,8.2,mg/l,Actual,Detected,16.63,Deg C.
21DELAWQ_WQX-114051,2023-04-13 08:08:00,Actual,Detected,0.22,ppt,Actual,Detected,126,cfu/100 ml,Actual,Detected,1.74,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.43,mg/l,Actual,Detected,7.12,ph,Actual,Detected,9,mg/l,Actual,Detected,4.8,mg/l,Actual,Detected,14.38,Deg C.
21DELAWQ_WQX-114051,2023-05-02 08:35:00,Actual,Detected,0.14,ppt,Actual,Detected,582,cfu/100 ml,Actual,Detected,1.71,ug/l,Actual,Detected,0.05,mg/l,Actual,Detected,1.52,mg/l,Actual,Detected,7.22,ph,Actual,Detected,10.06,mg/l,Actual,Detected,6.6,mg/l,Actual,Detected,11.64,Deg C.
